ranked_signal,frame,python_time_s,matlab_time_s,py_ANG_deg,mat_ANG_deg,diff_ANG_deg,abs_diff_ANG_deg,py_PEN_deg,mat_PEN_deg,diff_PEN_deg,abs_diff_PEN_deg,py_FL_mm,mat_FL_mm,diff_FL_mm,abs_diff_FL_mm
FL_mm,170,5.098827362060547,5.098825580259185,18.0,28.00847788180002,-10.008477881800019,10.008477881800019,19.1640625,28.94679613277721,-9.782733632777209,9.782733632777209,73.50950622558594,48.919645528198274,24.589860697387664,24.589860697387664
FL_mm,440,13.196964263916016,13.196960325376715,19.0,28.8225210332861,-9.822521033286101,9.822521033286101,20.0209903717041,29.689715158621865,-9.668724786917764,9.668724786917764,70.37603759765625,47.383212547387664,22.992825050268586,22.992825050268586
FL_mm,439,13.166971206665039,13.166967233728132,19.0,28.858853420174352,-9.858853420174352,9.858853420174352,20.188697814941406,29.72409734837442,-9.535399533433015,9.535399533433015,70.07083129882812,47.24532595628101,22.825505342547117,22.825505342547117
FL_mm,1781,53.4177131652832,53.41769622612712,19.0,29.124955602093628,-10.124955602093628,10.124955602093628,19.973955154418945,30.480019407725965,-10.50606425330702,10.50606425330702,70.13496398925781,47.63585661798666,22.49910737127115,22.49910737127115
FL_mm,1518,45.5295295715332,45.52951312254967,19.0,28.84544744343025,-9.845447443430249,9.845447443430249,20.202497482299805,29.852496644189202,-9.649999161889397,9.649999161889397,69.9698486328125,48.126870288112634,21.842978344699866,21.842978344699866
FL_mm,1515,45.43954849243164,45.439533847603926,19.0,29.12696055067897,-10.12696055067897,10.12696055067897,20.30738639831543,30.089060387171855,-9.781673988856426,9.781673988856426,69.70075225830078,48.02668928120114,21.674062977099638,21.674062977099638
FL_mm,1521,45.6195068359375,45.61949239749542,19.0,28.64971834922515,-9.64971834922515,9.64971834922515,20.3359432220459,29.68423809426222,-9.348294872216321,9.348294872216321,69.75061798095703,48.53234131648704,21.21827666446999,21.21827666446999
FL_mm,180,5.398758411407471,5.39875649674502,19.0,27.40816439377971,-8.40816439377971,8.40816439377971,20.0209903717041,28.337311419809392,-8.31632104810529,8.31632104810529,70.31886291503906,49.15047971491927,21.16838320011979,21.16838320011979
FL_mm,182,5.458744525909424,5.458742680042186,19.0,27.258555786465653,-8.258555786465653,8.258555786465653,20.04020881652832,28.192321409736035,-8.152112593207715,8.152112593207715,70.331787109375,49.29763320824068,21.034153901134317,21.034153901134317
FL_mm,181,5.428751468658447,5.428749588393603,19.0,27.34735962400452,-8.347359624004518,8.347359624004518,20.10694122314453,28.27027818186735,-8.16333695872282,8.16333695872282,70.1760025024414,49.22161634001255,20.954386162428854,20.954386162428854
FL_mm,183,5.4887375831604,5.48873577169077,19.0,27.060788603093737,-8.060788603093737,8.060788603093737,20.04020881652832,28.04951951098586,-8.00931069445754,8.00931069445754,70.34679412841797,49.51542466192093,20.831369466497037,20.831369466497037
FL_mm,184,5.518730640411377,5.518728863339353,19.0,26.86646678521165,-7.866466785211649,7.866466785211649,20.04020881652832,27.856279602943957,-7.8160707864156365,7.8160707864156365,70.34679412841797,49.802428729935386,20.544365398482583,20.544365398482583
FL_mm,185,5.5487236976623535,5.548721954987936,19.0,26.69423122715224,-7.69423122715224,7.69423122715224,20.078380584716797,27.686262942477597,-7.607882357760801,7.607882357760801,70.41616821289062,50.00551692710165,20.410651285788973,20.410651285788973
