Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
46,1.84,901.1117705359071,-4.824258667448084,0.08717554231054692,13649.977115810188,2.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
47,1.88,1219.2424932703566,-4.821352765155628,0.08456806977949327,18468.998714627884,2.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
48,1.92,3024.768295751106,-4.818291052440715,0.08250610338518474,45818.97536759071,2.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
49,1.96,71046.57835459436,-4.817386279111474,0.08043355387924524,1076208.524187938,2.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
50,2.0,11290.574926753447,-4.818127236161337,0.07812537165511199,171028.82729283324,2.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
51,2.04,1037.3093756573708,-4.816221940327355,0.07347907213999617,15713.088767354253,2.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
52,2.08,2147.4849430177383,-4.81857956593231,0.07280271272627854,32529.94943269473,2.0,2.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
53,2.12,664.3189865712073,-4.821104223883374,0.07049314165739616,10063.05683800172,2.0,2.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
54,2.16,504.71633166618795,-4.8212668945707104,0.0703825360880629,7645.407154233379,2.0,2.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
55,2.2,463.2585375803117,-4.820751218720083,0.07090214431037088,7017.407433169218,2.0,2.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
