rule_text,rule_json,flagged_frames,oracle_tp,oracle_fp,oracle_fn,oracle_precision,oracle_recall
gap_to_lower_deg >= 4 and best_lower_gap >= 9 and top_family_angle_offset <= -6,"[[""gap_to_lower_deg"", "">="", 4.0], [""best_lower_gap"", "">="", 9.0], [""top_family_angle_offset"", ""<="", -6.0]]",24,6,18,122,0.25,0.046875
top_family_angle_offset <= -6 and delta_localmax_deg >= 8,"[[""top_family_angle_offset"", ""<="", -6.0], [""delta_localmax_deg"", "">="", 8.0]]",16,4,12,124,0.25,0.03125
mass_below_10deg >= 0.22 and top_family_angle_offset <= -6 and delta_localmax_deg >= 8,"[[""mass_below_10deg"", "">="", 0.22], [""top_family_angle_offset"", ""<="", -6.0], [""delta_localmax_deg"", "">="", 8.0]]",12,3,9,125,0.25,0.0234375
mass_below_10deg >= 0.3 and best_lower_gap >= 9 and best_upper_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.3], [""best_lower_gap"", "">="", 9.0], [""best_upper_share"", ""<="", 0.12]]",113,28,85,100,0.24778761061946902,0.21875
gap_to_lower_deg >= 6 and selected_family_share <= 0.18,"[[""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.18]]",85,21,64,107,0.24705882352941178,0.1640625
mass_below_10deg >= 0.3 and best_upper_share <= 0.12 and selected_is_top_family <= 0,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.12], [""selected_is_top_family"", ""<="", 0.0]]",73,18,55,110,0.2465753424657534,0.140625
gap_to_lower_deg >= 6 and best_lower_gap >= 9 and selected_family_share <= 0.18,"[[""gap_to_lower_deg"", "">="", 6.0], [""best_lower_gap"", "">="", 9.0], [""selected_family_share"", ""<="", 0.18]]",73,18,55,110,0.2465753424657534,0.140625
gap_to_lower_deg >= 6 and best_lower_gap >= 9 and selected_is_top_family <= 0,"[[""gap_to_lower_deg"", "">="", 6.0], [""best_lower_gap"", "">="", 9.0], [""selected_is_top_family"", ""<="", 0.0]]",90,22,68,106,0.24444444444444444,0.171875
mass_below_10deg >= 0.22 and best_upper_share <= 0.12 and top_family_angle_offset <= -2,"[[""mass_below_10deg"", "">="", 0.22], [""best_upper_share"", ""<="", 0.12], [""top_family_angle_offset"", ""<="", -2.0]]",41,10,31,118,0.24390243902439024,0.078125
mass_below_10deg >= 0.22 and best_upper_share <= 0.14 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.22], [""best_upper_share"", ""<="", 0.14], [""top_family_angle_offset"", ""<="", -6.0]]",41,10,31,118,0.24390243902439024,0.078125
mass_below_10deg >= 0.3 and best_lower_gap >= 5 and best_upper_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.3], [""best_lower_gap"", "">="", 5.0], [""best_upper_share"", ""<="", 0.12]]",115,28,87,100,0.24347826086956523,0.21875
mass_below_10deg >= 0.3 and best_upper_share <= 0.14 and selected_is_top_family <= 0,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.14], [""selected_is_top_family"", ""<="", 0.0]]",74,18,56,110,0.24324324324324326,0.140625
gap_to_lower_deg >= 6 and selected_is_top_family <= 0,"[[""gap_to_lower_deg"", "">="", 6.0], [""selected_is_top_family"", ""<="", 0.0]]",103,25,78,103,0.24271844660194175,0.1953125
gap_to_lower_deg >= 4 and top_family_angle_offset <= -4,"[[""gap_to_lower_deg"", "">="", 4.0], [""top_family_angle_offset"", ""<="", -4.0]]",33,8,25,120,0.24242424242424243,0.0625
mass_below_10deg >= 0.3 and best_upper_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.12]]",130,31,99,97,0.23846153846153847,0.2421875
mass_below_10deg >= 0.18 and top_family_angle_offset <= -6 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.18], [""top_family_angle_offset"", ""<="", -6.0], [""selected_family_share"", ""<="", 0.18]]",63,15,48,113,0.23809523809523808,0.1171875
mass_below_10deg >= 0.22 and best_upper_share <= 0.14 and top_family_angle_offset <= -2,"[[""mass_below_10deg"", "">="", 0.22], [""best_upper_share"", ""<="", 0.14], [""top_family_angle_offset"", ""<="", -2.0]]",42,10,32,118,0.23809523809523808,0.078125
gap_to_lower_deg >= 8 and delta_localmax_deg >= 6 and selected_is_top_family <= 0,"[[""gap_to_lower_deg"", "">="", 8.0], [""delta_localmax_deg"", "">="", 6.0], [""selected_is_top_family"", ""<="", 0.0]]",42,10,32,118,0.23809523809523808,0.078125
gap_to_lower_deg >= 8 and delta_localmax_deg >= 8 and selected_is_top_family <= 0,"[[""gap_to_lower_deg"", "">="", 8.0], [""delta_localmax_deg"", "">="", 8.0], [""selected_is_top_family"", ""<="", 0.0]]",38,9,29,119,0.23684210526315788,0.0703125
mass_below_10deg >= 0.3 and best_upper_share <= 0.12 and delta_localmax_deg >= 6,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.12], [""delta_localmax_deg"", "">="", 6.0]]",68,16,52,112,0.23529411764705882,0.125
