frame,persistent_tracked_points,persistent_points_after_refresh,redetect_points,persistent_inliers,redetect_inliers,persistent_affine_ok,redetect_affine_ok,persistent_reinitialized
225,264,264,300,264,300,True,True,False
226,264,264,300,264,300,True,True,False
227,264,264,300,264,300,True,True,False
228,264,264,300,264,300,True,True,False
229,264,264,300,264,300,True,True,False
230,264,264,300,264,300,True,True,False
231,264,264,300,264,300,True,True,False
232,264,264,300,264,300,True,True,False
233,264,264,300,264,300,True,True,False
234,264,264,300,264,300,True,True,False
235,264,264,300,264,300,True,True,False
236,264,264,300,264,300,True,True,False
237,264,264,300,264,300,True,True,False
238,264,264,300,264,300,True,True,False
239,264,264,300,264,300,True,True,False
240,264,264,300,264,300,True,True,False
241,264,264,300,264,300,True,True,False
242,264,264,300,264,300,True,True,False
243,264,264,300,264,300,True,True,False
244,264,264,300,264,300,True,True,False
245,264,264,300,264,300,True,True,False
246,264,264,300,264,300,True,True,False
247,264,264,300,264,300,True,True,False
248,264,264,300,264,300,True,True,False
249,264,264,300,264,300,True,True,False
250,264,264,300,264,300,True,True,False
251,264,264,300,264,300,True,True,False
252,264,264,300,264,300,True,True,False
253,264,264,300,264,300,True,True,False
254,264,264,300,264,300,True,True,False
255,264,264,300,264,300,True,True,False
256,264,264,300,264,300,True,True,False
257,264,264,300,264,300,True,True,False
258,264,264,300,264,300,True,True,False
259,264,264,300,264,300,True,True,False
260,264,264,300,264,300,True,True,False
261,264,264,300,264,300,True,True,False
262,264,264,300,264,300,True,True,False
263,264,264,300,264,300,True,True,False
264,264,264,300,264,300,True,True,False
265,264,264,300,264,300,True,True,False
266,264,264,300,264,300,True,True,False
267,264,264,300,264,300,True,True,False
268,264,264,300,264,300,True,True,False
269,264,264,300,264,300,True,True,False
270,264,264,300,264,300,True,True,False
271,264,264,300,264,300,True,True,False
272,264,264,300,264,300,True,True,False
273,264,264,299,264,299,True,True,False
274,264,264,300,264,300,True,True,False
275,264,264,299,264,299,True,True,False
276,264,264,299,264,299,True,True,False
277,264,264,299,264,299,True,True,False
278,264,264,300,264,300,True,True,False
279,264,264,300,264,300,True,True,False
280,264,264,300,264,300,True,True,False
281,264,264,300,264,300,True,True,False
282,264,264,300,264,300,True,True,False
283,264,264,300,264,300,True,True,False
284,264,264,300,264,300,True,True,False
285,264,264,300,264,300,True,True,False
286,264,264,300,264,300,True,True,False
287,264,264,300,264,300,True,True,False
288,264,264,300,264,300,True,True,False
289,264,264,300,264,300,True,True,False
290,264,264,300,264,300,True,True,False
