variant,note,aligned_frame,python_frame,matlab_alpha_deg,matlab_alpha_reconstructed_deg,python_alpha_deg,abs_raw_error_deg,nearest_python_peak_to_matlab_deg,python_peak_hit_1deg,python_peak_hit_2deg,python_cum_weight_at_matlab_alpha,python_mass_within_2deg_of_matlab,python_peak_count,python_profile_max,python_profile_at_matlab_alpha,matlab_alpha_nearest_gamma_grid_deg,bias_mode
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,730,731,14.0,14.0,11.0,3.0,0.0,True,True,0.7366892545982575,0.20232333010648595,10,238.0,238.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,980,981,17.5,17.5,30.5,13.0,0.0,True,True,0.0991672975018925,0.19530658591975775,10,295.0,195.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,980,981,17.5,17.5,32.0,14.5,0.0,True,True,0.09707298999629492,0.09707298999629492,10,295.0,195.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,980,981,17.5,17.5,9.5,8.0,0.0,True,True,1.0,0.09640924741760945,10,223.0,189.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,980,981,17.5,17.5,9.5,8.0,0.0,True,True,1.0,0.09640924741760945,10,223.0,189.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,980,981,17.5,17.5,29.0,11.5,0.0,True,True,0.2928134556574924,0.19724770642201833,10,295.0,195.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,980,981,17.5,17.5,11.5,6.0,0.0,True,True,0.9110565110565111,0.18525798525798526,10,223.0,189.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,1141,1142,14.5,14.5,27.5,13.0,0.5,True,True,0.19653587840226228,0.19653587840226228,10,313.0,197.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,1141,1142,14.5,14.5,27.5,13.0,0.5,True,True,0.19508771929824562,0.19508771929824562,10,313.0,197.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,1141,1142,14.5,14.5,11.5,3.0,0.5,True,True,0.8938700823421775,0.30603842634949685,10,236.0,191.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,1141,1142,14.5,14.5,11.5,3.0,0.5,True,True,0.8938700823421775,0.30603842634949685,10,236.0,191.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,1141,1142,14.5,14.5,26.0,11.5,0.5,True,True,0.28991747398636525,0.1994976677430929,10,313.0,197.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,1141,1142,14.5,14.5,13.0,1.5,0.5,True,True,0.6324705882352941,0.3063529411764706,10,236.0,191.0,0.0,near parity
baseline_current,current Python Hough path,1414,1415,17.5,17.5,30.5,13.0,4.0,False,False,0.10849909584086799,0.0,10,300.0,220.0,0.0,matlab candidate absent in python peaks
no_diagonal_replacement,disable 45 deg diagonal replacement,1414,1415,17.5,17.5,31.0,13.5,4.0,False,False,0.10748835542816194,0.0,10,300.0,220.0,0.0,matlab candidate absent in python peaks
no_radius_correction,disable ellipse/radius correction,1414,1415,17.5,17.5,9.0,8.5,1.5,False,True,1.0,0.09227053140096618,10,247.0,213.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,1414,1415,17.5,17.5,9.0,8.5,1.5,False,True,1.0,0.09227053140096618,10,247.0,213.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,1414,1415,17.5,17.5,27.5,10.0,0.0,True,True,0.3899441340782123,0.18472998137802607,10,300.0,220.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,1414,1415,17.5,17.5,10.0,7.5,0.0,True,True,0.9167074963253308,0.26849583537481625,10,247.0,213.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,96,97,16.0,16.0,28.5,12.5,0.5,True,True,0.1958762886597938,0.09425625920471281,10,306.0,208.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,96,97,16.0,16.0,29.5,13.5,0.5,True,True,0.19544452608376195,0.0940484937545922,10,306.0,208.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,96,97,16.0,16.0,12.0,4.0,0.5,True,True,0.9034825870646767,0.1,10,227.0,201.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,96,97,16.0,16.0,12.0,4.0,0.5,True,True,0.9034825870646767,0.1,10,227.0,201.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,96,97,16.0,16.0,21.5,5.5,0.5,True,True,0.2045367166474433,0.1922337562475971,10,306.0,208.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,96,97,16.0,16.0,9.5,6.5,0.5,True,True,0.718131030980193,0.19349923819197562,10,227.0,201.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,437,438,19.0,19.0,31.5,12.5,0.5,True,True,0.2938026013771997,0.1063504208110176,10,288.0,201.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,437,438,19.0,19.0,34.5,15.5,0.5,True,True,0.18991534781008465,0.10231873389768127,10,312.0,201.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,437,438,19.0,19.0,9.5,9.5,0.5,True,True,0.9032258064516129,0.0967741935483871,10,234.0,195.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,437,438,19.0,19.0,9.5,9.5,0.5,True,True,0.9032258064516129,0.0967741935483871,10,234.0,195.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,437,438,19.0,19.0,19.5,0.5,0.5,True,True,0.48392096086788067,0.20418442464161177,10,288.0,201.0,0.0,near parity
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,437,438,19.0,19.0,14.0,5.0,0.5,True,True,0.7441860465116279,0.19844961240310077,10,234.0,195.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,613,614,17.5,17.5,30.0,12.5,0.0,True,True,0.2907538061641292,0.19977720014853323,10,290.0,227.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,613,614,17.5,17.5,30.0,12.5,1.5,False,True,0.09798903107861061,0.10237659963436929,10,290.0,227.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,613,614,17.5,17.5,10.0,7.5,0.0,True,True,0.9019893255701117,0.28578360019408056,10,223.0,220.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,613,614,17.5,17.5,10.0,7.5,0.0,True,True,0.9019893255701117,0.28578360019408056,10,223.0,220.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,613,614,17.5,17.5,26.5,9.0,0.0,True,True,0.2955832389580974,0.3004907512268781,10,290.0,227.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,613,614,17.5,17.5,12.5,5.0,0.0,True,True,0.7316948284690221,0.20225294418842804,10,223.0,220.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,1234,1235,19.5,19.5,32.0,12.5,1.5,False,True,0.20515653775322285,0.10460405156537753,10,308.0,195.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,1234,1235,19.5,19.5,33.5,14.0,1.5,False,True,0.20225127087872186,0.10312273057371096,10,308.0,195.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,1234,1235,19.5,19.5,10.0,9.5,1.5,False,True,1.0,0.1027900146842878,10,222.0,189.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,1234,1235,19.5,19.5,10.0,9.5,1.5,False,True,1.0,0.1027900146842878,10,222.0,189.0,0.0,lower-angle overweight before matlab
