Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
32,2.909090909090909,86.56671456559482,15.65554601832892,15.610455457973757,1003.6720529344328,16.0,16.0,16.0,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
33,3.0,85.52101473510812,15.924961844818505,15.932491736393843,991.5479969287899,15.5,15.5,15.5,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
34,3.090909090909091,83.56625203456478,16.19979397238779,16.216121505537274,968.8840815601715,17.5,17.5,17.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
35,3.1818181818181817,84.09886199302844,16.075164907772752,16.0787541602308,975.0592694843878,15.0,15.0,15.0,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
36,3.272727272727273,84.51584316095915,16.040246909200818,15.996014500160129,979.8938337502511,10.5,10.5,10.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
37,3.3636363636363638,84.05336287240806,16.101835468900532,16.09251482855933,974.5317434482095,16.0,16.0,16.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
38,3.4545454545454546,83.5395243528907,15.89225707244115,15.903875695334364,968.5741953958342,17.0,17.0,17.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
39,3.5454545454545454,83.91486906964415,15.769530439750358,15.78030836216729,972.9260181987729,13.0,13.0,13.0,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
40,3.6363636363636362,83.71899713454285,15.789617045507041,15.82001095320615,970.6550392410766,13.0,13.0,13.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
41,3.727272727272727,84.03583435953006,15.567149548773804,15.568658731187583,974.328514313392,16.0,16.0,16.0,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
42,3.8181818181818183,83.93480957177307,15.56460337571882,15.575486113887877,973.1572124263545,13.0,13.0,13.0,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
43,3.909090909090909,84.59985559781015,15.421699752161073,15.428699907163292,980.8678909891032,16.0,16.0,16.0,houghpeaks,False,nan,nan,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
44,4.0,84.86177649023999,15.308666030609754,15.31799144278088,983.9046549593043,17.5,17.5,17.5,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
45,4.090909090909091,84.61922839118736,15.203586663275063,15.219985205494652,981.0925030862304,15.5,15.5,15.5,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
46,4.181818181818182,84.37106587385874,15.262780996213799,15.279566332298145,978.2152565085072,16.0,16.0,16.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
47,4.2727272727272725,84.58473794056907,15.339018845755334,15.313000314364302,980.6926138036994,13.5,13.5,13.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
48,4.363636363636363,84.76170794673061,15.34877917484522,15.299684244448201,982.7444399620941,12.0,12.0,12.0,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
49,4.454545454545454,84.09839452365328,15.483062123330654,15.445438806990353,975.0538495496033,12.0,12.0,12.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
50,4.545454545454546,85.1769795958944,15.252410087522861,15.233437121658426,987.5591837205147,17.5,17.5,17.5,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
51,4.636363636363637,84.53790365359433,15.362294073619154,15.30273728682377,980.1496075779053,16.0,16.0,16.0,houghpeaks,False,nan,nan,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
52,4.7272727272727275,85.70206475481531,15.148008488537812,15.117918967967995,993.6471275920617,13.5,13.5,13.5,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
53,4.818181818181818,84.75135837944748,15.492771927390862,15.374395281732347,982.6244449791013,14.5,14.5,14.5,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
54,4.909090909090909,83.38878626288984,15.767398444692361,15.712777855870826,966.8265073958243,11.0,11.0,11.0,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
55,5.0,81.86279558562556,16.01375337254592,15.798085588577521,949.1338618623254,15.0,15.0,15.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
56,5.090909090909091,82.79255936823155,15.823751244477933,15.74178004927532,959.9137318055832,15.5,15.5,15.5,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
57,5.181818181818182,82.99728363069582,15.779553881817634,15.715345640115316,962.2873464428501,16.0,16.0,16.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
58,5.2727272727272725,83.35472987088606,15.7219898153472,15.673236379219105,966.4316506769399,14.5,14.5,14.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
59,5.363636363636363,83.94855097935533,15.640032933791531,15.631362697855508,973.316533093975,9.0,9.0,9.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
