frame0,stage,kind,unit,n,matlab_mean,python_mean,bias_py_minus_mat,mae,rmse,max_abs,corr,dice,jaccard,different_pixels
1,apo_super,binary,fraction/pixels,396772,0.11404030526347625,0.037616061617251215,-0.07642424364622503,0.07642424364622503,0.27644935096003576,30323.0,,0.4960696657969521,0.3298488330975955,30323.0
1,apo_deep,binary,fraction/pixels,396772,0.12615305515510167,0.04255592632544635,-0.08359712882965531,0.08359712882965532,0.2891316807782491,33169.0,,0.5044891617741526,0.3373356774683342,33169.0
1,fas_thres_raw,binary,fraction/pixels,396772,0.22809321222263668,0.23315405320939986,0.005060840986763182,0.00633613259000131,0.0795998278264552,2514.0,,0.9862630457352057,0.9728983851145944,2514.0
1,fas_thres,binary,fraction/pixels,396772,0.22809321222263668,0.23315405320939986,0.005060840986763182,0.00633613259000131,0.0795998278264552,2514.0,,0.9862630457352057,0.9728983851145944,2514.0
1,Emask,binary,fraction/pixels,396772,0.3239341485790328,0.38560684725736694,0.06167269867833414,0.06173318681761818,0.24846164053555264,24494.0,,0.9129956025375987,0.8399189595451277,24494.0
1,fascicle_masked,binary,fraction/pixels,396772,0.06335628522173943,0.07457683505892553,0.011220549837186095,0.01187079733448933,0.10895318873024933,4710.0,,0.9139380207571992,0.8415155287862983,4710.0
1,super_vec,numeric,px,10,64.3,46.4,-17.9,26.3,27.171676429694212,42.0,-0.5472492096302023,,,
1,deep_vec,numeric,px,10,295.6,321.6,26.0,26.0,27.575351312358652,42.0,-0.27458073926105353,,,
1,fas_filt,numeric,Frangi response,396772,0.11879626203923939,0.11781426744208714,-0.000981994597152231,0.0011139282112661098,0.0023784412427599075,0.12214961588170341,0.9999662529657113,,,
1,Emask_radius,numeric,px,2,234.5,245.5,11.0,11.0,15.556349186104045,22.0,1.0,,,
1,alpha_full_python,numeric,deg,1,19.5,19.0,-0.5,0.5,0.5,0.5,,,,
1,alphas_full_python,numeric,deg,10,19.65,16.0,-3.65,6.65,9.231738731138355,17.0,-0.45024869221604746,,,
1,weights_full_python,numeric,votes,10,292.7,289.1,-3.6,4.8,7.0710678118654755,14.0,0.984240560936941,,,
1,h_by_angle_full_python,numeric,votes,111,223.5855855855856,219.6936936936937,-3.891891891891892,8.846846846846846,11.534515379722073,36.0,0.9650650329841548,,,
2,apo_thres,binary,fraction/pixels,396772,0.9320340144969907,0.324463419797768,-0.6075705946992227,0.6075705946992227,0.7794681486111044,241067.0,,0.5164569555685267,0.34812401130325443,241067.0
2,apo_super,binary,fraction/pixels,396772,0.11398233746332906,0.03763370399120906,-0.07634863347212001,0.07634863347212001,0.2763125648104335,30293.0,,0.4964343301693901,0.330171365395246,30293.0
2,apo_deep,binary,fraction/pixels,396772,0.12593882632847075,0.0425080398818465,-0.08343078644662424,0.08343078644662426,0.28884387901879494,33103.0,,0.5047056183137577,0.33752926814625067,33103.0
