cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_px,length_std_px,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,mean_lateral_span_score,hough_peak_fraction
a15.75_x400_lp1700,8,8,0.950794983637446,0.6309250442652213,15.7,0.0,1685.5297822915763,1.0404850222022408,,,400.0000020901866,1.1026897252525312e-05,0.43902439024390244,0.883856949409543,0.996875,0.0
a21.50_x400_lp1200,8,8,0.9503589046215023,0.6304217617938428,21.4,0.0,1177.2224297424846,0.5028573787248294,,,400.00000216398297,9.422915971294985e-06,0.4442138341110944,0.8978963698851175,0.9984375000000001,0.0
a21.25_x400_lp1200,8,16,0.9496036997159647,0.6296672135182795,21.3,0.0,1183.392745219507,0.5081104185191282,,,400.0000095336986,7.4221640785858175e-06,0.44682320441988954,0.8978963698851175,0.9984375000000001,0.0
a11.25_x400_lp2600,8,8,0.9487071658588557,0.6290208573751483,11.2,0.0,2585.5004717921593,2.5095321303412885,,,400.00000131697345,2.3549749840979216e-05,0.46000967507861,0.659745681764244,0.9975,0.0
a16.00_x400_lp1650,8,24,0.9486391223307996,0.6287651855531051,15.9,0.0,1660.0594326449284,1.008505778444217,,,399.99999844112193,7.20577116091319e-06,0.432,0.9285431460956607,0.996875,0.0
a11.25_x400_lp2550,8,8,0.9481232800156941,0.6284293941678092,11.3,0.0,2554.98229772477,2.4489132169210617,,,400.00000716505986,2.2455125444007887e-05,0.4452240566037736,0.6881861870508521,0.9978125,0.0
a15.25_x400_lp1750,8,16,0.947751842488384,0.629562973741677,15.25,0.05000000000000071,1745.3345701841,6.489050026344953,,,399.99999219564666,9.310054235971583e-06,0.46101872952570855,0.8843083285913528,0.996875,0.0
a19.00_x400_lp1350,8,24,0.9461707783922775,0.6289807205775315,19.05,0.0927024810886971,1342.9660124800762,7.647140507840898,,,399.99999886322223,9.892176556371776e-06,0.4314797402416085,0.9923555863023175,0.9984375000000001,0.125
a15.00_x400_lp1800,8,16,0.9450440782681112,0.626715905559923,14.9,0.04330127018922178,1795.7849794689826,6.446415104218707,,,400.0000167866986,9.04141557054126e-06,0.45389805097451275,0.8758239437828154,0.9965625,0.25
a11.00_x400_lp2600,8,8,0.9446634043821859,0.6249849553450569,11.1,0.0,2616.764578114486,2.572407702968224,,,400.0000084233735,1.842630773040176e-05,0.46153846153846156,0.659745681764244,0.998125,0.0
a12.75_x400_lp2150,8,8,0.9444116560544337,0.6246306152345964,12.8,0.0,2171.370449421239,1.75167344130272,,,399.9999909969444,1.4656138923155958e-05,0.48971349769222106,0.7725095454245041,0.9937499999999999,0.0
a26.50_x400_lp950,8,24,0.9444061098690089,0.6265321968822135,26.5,0.0866025403784451,932.7698136867559,3.1522896450865123,,,400.00000459961814,3.800879419050389e-06,0.4356817530882646,0.7651185108720064,0.99875,0.0
a19.25_x400_lp1350,8,8,0.9417563664128211,0.6218367304428064,19.2,0.0,1330.7745481166994,0.6429122398820295,,,399.99999664308984,8.886624491492378e-06,0.4205974842767296,0.9923555863023175,0.99875,0.0
a23.00_x400_lp1100,8,24,0.94033233718621,0.6220692842899205,22.9,0.0661437827766157,1092.0209829328624,3.3125715854253444,,,400.00000419582415,7.492609819883876e-06,0.4238930381853929,0.7702770862879095,0.99875,0.0
a14.75_x400_lp1800,8,10,0.9392024490974473,0.6193531344302244,14.8,0.0,1810.8238218046254,1.2054826622166526,,,399.99999568744624,4.9382913380182454e-06,0.4320175438596491,0.8758239437828154,0.9965625,0.0
a20.50_x400_lp1250,8,24,0.9364486712069777,0.6178585376771683,20.55,0.05000000000000071,1231.5579437592287,3.2789317615235496,,,400.00000756542033,8.872439524499706e-06,0.4454464770496596,0.7750351240275354,0.9984375000000001,0.0
a13.00_x400_lp2150,8,16,0.9358563381499009,0.6175184385424993,13.0,0.03307189138830727,2128.858231871776,8.005300518657613,,,400.0000150325069,1.817655173811838e-05,0.47850877192982455,0.7725095454245042,0.9934375,0.0
a23.25_x400_lp1100,8,8,0.9358356985682977,0.6158884155886808,23.2,0.0,1076.743470500356,0.4217361630652521,,,400.0000017389247,6.543505690716057e-06,0.41369570424784413,0.7702770862879095,0.99875,0.0
a14.00_x400_lp1950,8,16,0.9342683624267396,0.6157549066069168,13.9,0.03307189138830727,1956.7627916950444,6.600850819288694,,,400.000002379014,1.2514189836352776e-05,0.41852538185085353,0.8618370075159951,0.995625,0.0
a13.25_x400_lp2050,8,8,0.9339594830198699,0.6141575474980439,13.3,0.0,2068.1681755810237,1.584515825392627,,,400.0000033355748,6.194161049344951e-06,0.4444444444444445,0.7809106006402713,0.994375,0.0
a20.00_x400_lp1300,8,8,0.9335632858801564,0.6136373053944126,19.9,0.0,1277.5376799318965,0.5921561140509575,,,400.0000037486982,7.937154097741764e-06,0.4268051937479649,0.879212748720622,0.9975,0.0
a13.25_x400_lp2100,8,8,0.9331652655517648,0.6133672621292872,13.2,0.0,2088.003685755222,1.6159726201795606,,,400.00000871820373,1.808965457054312e-05,0.45089285714285715,0.7725095454245041,0.9940625000000001,0.0
a13.00_x400_lp2100,8,8,0.9327650627119688,0.6129711096733623,13.1,0.0,2108.2298531486285,1.6483756911490643,,,400.000003360602,5.349473980115565e-06,0.4632731958762887,0.7725095454245042,0.9940625000000001,0.0
