frame_idx,time_s,theta_deg,theta_sigma_deg,PEN_deg,FL_mm,FL_sigma_mm,combined_confidence,R_scale,median_zncc,valid_fraction,out_of_plane_score,median_dx_px,median_dy_px,epsilon_f_median,epsilon_perp_median,gamma_fperp_median,epsilon_f_sigma_median,strain_rate_f_median_s,fit_residual_median_px
11,0.3299241174529858,17.46781582088093,0.25,19.3127504710435,75.87202738898432,0.25,1.0,1.0,0.9993544816970825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.3599172190396209,17.466348862647976,0.25,19.31075426281916,75.88061783118975,0.25,1.0,1.0,0.9993814826011658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.38991032062625597,17.46488633233568,0.25,19.30866297467628,75.88901429261102,0.25,1.0,1.0,0.9997751116752625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.419903422212891,17.464242986783745,0.25,19.30767378172027,75.89296069840222,0.25,1.0,1.0,0.9997580647468567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.4498965237995261,17.463379486753468,0.25,19.30631902167474,75.8986884034461,0.25,1.0,1.0,0.9999152421951294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.47988962538616114,17.463066701837022,0.25,19.30529982826681,75.90328090773127,0.25,1.0,1.0,0.9999251365661621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.5098827269727962,17.46043637167358,0.25,19.3044619389984,75.9043626954401,0.25,1.0,1.0,0.9986764788627625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.5398758285594313,17.45868693575389,0.25,19.303544095487922,75.90629434984437,0.25,1.0,1.0,0.9988572001457214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.5698689301460664,17.455273349481786,0.25,19.301843090272257,75.91100099335522,0.25,1.0,1.0,0.9983341097831726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5998620317327015,17.45283029379334,0.25,19.300031261693903,75.91686000223139,0.25,1.0,1.0,0.9988867044448853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.6298551333193365,17.452047790278897,0.25,19.297764430231098,75.91839324932575,0.25,1.0,1.0,0.9986532926559448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.6598482349059716,17.450826678092938,0.25,19.29546983884859,75.92050792679004,0.25,1.0,1.0,0.9989633560180664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.6898413364926067,17.449110785626345,0.25,19.295315486173905,75.92060824609462,0.25,1.0,1.0,0.999183177947998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.7198344380792417,17.44714190175975,0.25,19.29368994082367,75.92918561902798,0.25,1.0,1.0,0.99930340051651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.7498275396658768,17.448478214304856,0.25,19.29276537917903,75.92985082144595,0.25,1.0,1.0,0.9986262321472168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.7798206412525119,17.448717841899565,0.25,19.287197346168824,75.95126389383998,0.25,1.0,1.0,0.9984431266784668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.809813742839147,17.451079115017052,0.25,19.27907799435701,75.98971981700521,0.25,1.0,1.0,0.9928745031356812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.839806844425782,17.45509693489251,0.25,19.278539226687826,75.99201013376307,0.25,1.0,1.0,0.9970736503601074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.8697999460124172,17.456966026694857,0.25,19.275727504054487,76.0014681894382,0.25,1.0,1.0,0.9993621110916138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
