variant,FL_RMSE_mm,PEN_RMSE_deg,ANG_RMSE_deg,passes_final_targets,prior_angle_RMSE_vs_MATLAB_final_deg,prior_angle_RMSE_vs_Python_TimTrack_deg,prior_xsup_RMSE_vs_MATLAB_raw_px,prior_length_RMSE_vs_MATLAB_raw_mm,seed_alpha_deg,target_score,seed_xsup,seed_ysup,seed_xdeep,seed_ydeep
calibrated_seed_17.15,1.829467181688885,0.8786321512630126,0.8845696291492063,True,2.626917516883321,3.5544823821341813,14.996369985896562,3.1745429115182873,17.15,0.9147335908444425,762.484554267605,56.12567728171484,-56.48455445681787,308.8560080818069
calibrated_seed_17.70,1.7579894678754229,0.9098032681703203,0.9191723295518989,True,2.982185097583732,3.6644382435984064,14.81964544064294,4.079384211325405,17.7,0.9191723295518989,750.0254940034106,55.82976184040882,-44.02549944922403,309.24375917412556
calibrated_seed_17.10,1.847947179649065,0.8815624924492206,0.8871204012936837,True,2.6168235378196294,3.5621428872273038,15.540574947980751,3.1448950434126774,17.1,0.9239735898245325,763.652243601924,56.153411099301906,-57.652256411106,308.8196668257484
calibrated_seed_17.75,1.7638321030142334,0.9180680671510167,0.9276635683533265,True,3.0342831868291023,3.6920159410444824,15.305718110584065,4.1971478078399596,17.75,0.9276635683533265,748.9267288985574,55.8036650438608,-42.926728496743856,309.27795515743026
calibrated_seed_17.05,1.868277210674525,0.8854696611196612,0.8906415339153474,True,2.610713555235043,3.5726720269036116,16.156435371991194,3.1268326057473774,17.05,0.9341386053372625,764.8259904137348,56.181288788183195,-58.825994143041775,308.7831377240327
calibrated_seed_17.80,1.7716821766234379,0.9271411348022978,0.9369478967573999,True,3.089159648825973,3.7223901533232726,15.851353068458817,4.318431958310761,17.8,0.9369478967573999,747.8334196166996,55.77769782869652,-41.83341359056625,309.3119813374945
calibrated_seed_17.00,1.8903969770636997,0.8903320981675422,0.8951125992693943,True,2.608498629044788,3.5859933523637944,16.837061719261573,3.120686913148389,17.0,0.9451984885318498,766.0058313849381,56.209311219591456,-60.00582848204916,308.74641888352465
calibrated_seed_17.85,1.781453234355041,0.9369650216404734,0.9469688525247937,True,3.146570861136531,3.755416438764184,16.449989187976374,4.442869634720084,17.85,0.9469688525247937,746.7455140613569,55.751858957571244,-40.74552224157775,309.34583872544545
calibrated_seed_16.95,1.914270899682844,0.8961488464625391,0.9005340911838559,True,2.6102368703883276,3.602088283947548,17.57474540208794,3.126801108323831,16.95,0.957135449841422,767.1918071333457,56.237479358241245,-61.19181744892228,308.7095084984993
calibrated_seed_17.90,1.7932329147928678,0.9475862865131881,0.9577716724452453,True,3.2067480082224042,3.791315049630127,17.095380568379248,4.570073162508249,17.9,0.9577716724452453,745.6629856049881,55.7261477980536,-39.662997881497155,309.3795290818029
