frame,baseline_alpha_deg,matlab_alpha_deg,baseline_raw_error_deg,localmax_alpha_deg,delta_localmax_deg,mass_below_8deg,mass_below_10deg,gap_to_lower_deg,oracle_high_angle_overweight
155,33.0,32.5,0.5,23.5,9.5,0.4925657643919177,0.390773922988944,9.5,False
156,32.0,24.5,7.5,23.5,8.5,0.39999999999999997,0.29785575048732943,8.5,True
157,32.5,32.5,0.0,21.5,11.0,0.2970565453137103,0.191711851278079,0.5,False
158,32.0,32.5,-0.5,29.5,2.5,0.28996865203761757,0.28996865203761757,2.5,False
159,31.5,32.0,-0.5,19.5,12.0,0.2936477748193229,0.2936477748193229,10.0,False
160,32.0,31.5,0.5,19.5,12.5,0.38912456613960666,0.2915541843424605,0.5,False
161,31.5,31.5,0.0,19.0,12.5,0.30622188905547226,0.20952023988005997,1.0,False
162,31.5,31.5,0.0,21.0,10.5,0.30619136960600374,0.30619136960600374,0.5,False
163,32.0,31.0,1.0,19.0,13.0,0.3030075187969925,0.3030075187969925,1.5,False
164,30.5,31.0,-0.5,30.5,0.0,0.40727969348659004,0.2111111111111111,8.0,False
165,30.5,21.0,9.5,23.0,7.5,0.3977142857142857,0.3977142857142857,2.5,False
166,30.5,30.5,0.0,28.0,2.5,0.2988721804511278,0.2988721804511278,2.5,False
167,30.5,30.5,0.0,29.0,1.5,0.2972774098601913,0.2972774098601913,1.5,False
168,30.0,30.5,-0.5,28.5,1.5,0.39785358374856267,0.39785358374856267,1.5,False
169,32.0,30.0,2.0,32.0,0.0,0.2959262106072252,0.2959262106072252,1.5,False
170,31.5,24.5,7.0,30.0,1.5,0.1955370650529501,0.1955370650529501,0.5,True
171,26.5,30.5,-4.0,22.5,4.0,0.2967495219885277,0.19732313575525812,1.5,False
172,30.0,26.5,3.5,18.5,11.5,0.4027098231087693,0.4027098231087693,0.5,False
173,30.5,26.5,4.0,26.0,4.5,0.3934049079754601,0.3934049079754601,4.5,False
174,31.0,30.0,1.0,26.5,4.5,0.3007722007722008,0.3007722007722008,0.5,False
175,31.5,29.0,2.5,32.0,-0.5,0.2965072133637054,0.2965072133637054,1.0,False
176,31.0,31.0,0.0,32.0,-1.0,0.29019759783029836,0.29019759783029836,0.5,False
177,31.0,31.0,0.0,31.0,0.0,0.2907066052227342,0.2907066052227342,11.5,False
178,30.5,31.0,-0.5,19.0,11.5,0.3959731543624161,0.2996446900908014,1.0,False
179,29.5,30.5,-1.0,29.5,0.0,0.3980506822612086,0.3980506822612086,10.5,False
180,29.5,29.5,0.0,15.5,14.0,0.41276764472640765,0.41276764472640765,11.5,False
181,16.0,20.0,-4.0,16.0,0.0,0.0,0.0,0.5,False
182,26.5,18.5,8.0,21.5,5.0,0.3161993769470405,0.21728971962616822,5.0,True
183,27.0,30.0,-3.0,23.5,3.5,0.2983531214094217,0.2983531214094217,0.5,False
184,28.5,28.5,0.0,26.0,2.5,0.30394524959742353,0.30394524959742353,1.5,False
185,27.0,29.5,-2.5,18.5,8.5,0.29885931558935364,0.20190114068441065,1.5,False
186,28.0,22.0,6.0,25.0,3.0,0.29888888888888887,0.29888888888888887,1.5,False
187,29.0,27.0,2.0,27.5,1.5,0.1921627731725697,0.1921627731725697,1.5,False
188,28.5,27.5,1.0,27.0,1.5,0.2887836853605244,0.2887836853605244,0.5,False
