Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
11,1.0,75.67935284414408,17.01218600481286,17.005495217778275,1194.1515241679538,17.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
12,1.0909090909090908,75.70248247945646,17.019959992128264,17.015724151216176,1194.5164888277154,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
13,1.1818181818181819,75.76140935920436,17.022301575477066,17.02403487687775,1195.446301525907,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
14,1.2727272727272727,75.82301083797051,17.02388107315476,17.031023430504177,1196.4183169699488,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
15,1.3636363636363635,75.79369083011716,17.03474648312823,17.030127342767628,1195.9556738480026,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
16,1.4545454545454546,75.74109855718096,17.051952455112893,17.053761759263637,1195.1258154979243,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
17,1.5454545454545454,75.76682187732703,17.0571593857569,17.06446299871814,1195.5317061511169,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
18,1.6363636363636365,75.828399434423,17.052612542631834,17.063422866777444,1196.5033441329074,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
19,1.7272727272727273,75.84669495427687,17.047595239151157,17.056501180327075,1196.7920308367159,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
20,1.8181818181818181,75.85025488348545,17.050841785699664,17.060663616387586,1196.8482032897111,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
21,1.9090909090909092,75.85305702046514,17.048658032113572,17.058426313536756,1196.892418468878,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
22,2.0,75.87112043912575,17.046175347175883,17.05676687261314,1197.1774428264418,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
23,2.090909090909091,75.85318168894122,17.049849072408392,17.057514123031808,1196.894385624319,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
24,2.1818181818181817,75.83565842348482,17.053021547629758,17.061813802122316,1196.6178843942378,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
25,2.272727272727273,75.89077289402627,17.039939194290817,17.0492457405569,1197.4875407341424,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
26,2.3636363636363638,75.82279354570643,17.05307337925623,17.059765745008576,1196.4148882951706,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
27,2.4545454545454546,75.8404490442946,17.048045351178924,17.059296710580583,1196.6934760440963,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
28,2.5454545454545454,75.82103060761067,17.049387008948568,17.058727263514584,1196.3870707315293,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
29,2.6363636363636362,75.86508442598125,17.03677010034422,17.046820523885856,1197.0822000154833,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
30,2.727272727272727,75.8245693945938,17.043443688935845,17.051125421006788,1196.4429095793892,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
31,2.8181818181818183,75.8694738778927,17.03488536466946,17.040624796252445,1197.1514615841058,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
32,2.909090909090909,76.17216941524931,16.9462177990803,16.914506983200624,1201.9277225285887,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
33,3.0,76.1553662642258,16.918378777251633,16.859600552145594,1201.6625840509003,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
34,3.090909090909091,76.01388175180145,16.932025575158264,16.889435219068986,1199.430086813435,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
35,3.1818181818181817,75.9235183460986,16.938594462198125,16.93065978551141,1198.0042342579661,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
36,3.272727272727273,75.88631319572866,16.948442596377692,16.956996153408852,1197.4171707412806,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
