row,frame,matlab_alpha,python_alpha,alpha_error_python_minus_matlab,abs_alpha_error,selected_line_alpha,py_first_peak_alpha,py_first_peak_weight,py_total_peak_weight,py_weighted_peak_spread,py_nearest_peak_to_matlab,py_nearest_peak_distance_to_matlab,py_nearest_peak_index,matlab_first_peak_alpha,matlab_first_peak_weight,matlab_total_peak_weight,matlab_weighted_peak_spread,matlab_nearest_peak_to_python,matlab_nearest_peak_distance_to_python,matlab_nearest_peak_index,mask_density,n_fascicle_candidates,category
35,35,19.0,20.0,1.0,1.0,18.434947967529297,19.0,274.0,2233.0,4.319301388266905,19.0,0.0,0,19.0,358.0,2909.0,3.77363355104847,20.0,0.0,5,0.08685079962015152,130.0,matched within 1 deg
36,36,19.0,20.0,1.0,1.0,18.434947967529297,19.0,265.0,2233.0,4.316614420062696,19.0,0.0,0,19.0,360.0,2907.0,3.8214654282765737,20.0,0.0,3,0.08636704087257385,106.0,matched within 1 deg
37,37,19.0,21.0,2.0,2.0,18.778032302856445,19.0,265.0,2223.0,4.227170490328385,19.0,0.0,0,19.0,359.0,2908.0,4.798143053645117,21.0,0.0,1,0.08648958802223206,116.0,"peak exists, weighted median differs"
38,38,19.0,21.0,2.0,2.0,18.778032302856445,19.0,267.0,2195.0,4.4355353075170845,19.0,0.0,0,19.0,353.0,2899.0,4.837530182821663,21.0,0.0,1,0.08690884709358215,140.0,"peak exists, weighted median differs"
39,39,20.0,21.0,1.0,1.0,18.92464256286621,25.0,269.0,2348.0,3.8206984667802386,19.0,1.0,2,19.0,331.0,2869.0,2.634890205646567,21.0,0.0,1,0.09026935696601868,133.0,matched within 1 deg
40,40,19.5,22.0,2.5,2.5,18.92464256286621,27.0,292.0,2534.0,3.911602209944751,19.0,0.5,2,19.5,333.0,2882.0,2.731783483691881,21.5,0.5,5,0.11310276389122009,207.0,"peak exists, weighted median differs"
41,41,20.5,23.0,2.5,2.5,18.970407485961914,26.0,270.0,2284.0,4.468038528896672,21.0,0.5,7,19.5,331.0,2859.0,3.137460650577125,23.0,0.0,9,0.09924791753292084,98.0,"peak exists, weighted median differs"
42,42,20.5,22.0,1.5,1.5,18.434947967529297,20.0,262.0,2288.0,4.465472027972028,20.0,0.5,0,19.5,355.0,2903.0,1.858250086117809,21.5,0.5,1,0.09730643033981323,119.0,"peak exists, weighted median differs"
43,43,20.5,22.0,1.5,1.5,18.434947967529297,27.0,254.0,2233.0,6.3067622033139275,21.0,0.5,7,20.0,333.0,2874.0,3.722338204592902,21.5,0.5,2,0.09311385452747345,126.0,"peak exists, weighted median differs"
44,44,20.0,26.0,6.0,6.0,18.758649826049805,27.0,228.0,2035.0,4.010810810810811,19.0,1.0,2,21.5,322.0,2914.0,3.486101578586136,26.5,0.5,7,0.08434170484542847,108.0,"peak exists, weighted median differs"
45,45,21.5,22.0,0.5,0.5,18.799884796142578,22.0,236.0,2153.0,3.745006967022759,22.0,0.5,0,20.5,333.0,2881.0,2.924331829225963,22.0,0.0,2,0.08549626916646957,134.0,matched within 1 deg
46,46,22.5,23.0,0.5,0.5,18.434947967529297,33.0,228.0,2041.0,5.181773640372366,23.0,0.5,2,22.5,316.0,2862.0,1.9063591893780574,22.5,0.5,0,0.07918161153793335,111.0,matched within 1 deg
47,47,22.5,23.0,0.5,0.5,22.425861358642578,17.0,234.0,2116.0,3.570888468809074,23.0,0.5,1,22.5,312.0,2823.0,2.0481756996103435,23.0,0.0,1,0.08253566920757294,83.0,matched within 1 deg
48,48,22.5,25.0,2.5,2.5,18.434947967529297,23.0,242.0,2158.0,4.435125115848008,23.0,0.5,0,23.0,306.0,2824.0,4.185021246458923,24.5,0.5,6,0.0877731591463089,137.0,"peak exists, weighted median differs"
49,49,22.5,24.0,1.5,1.5,18.88608741760254,24.0,269.0,2230.0,3.4681614349775787,23.0,0.5,3,26.5,316.0,2855.0,2.6080560420315235,23.5,0.5,2,0.09132717549800873,125.0,"peak exists, weighted median differs"
50,50,22.5,24.0,1.5,1.5,-20.376434326171875,24.0,258.0,2059.0,3.8149587178241866,23.0,0.5,2,24.0,313.0,2743.0,3.5034633612832664,24.0,0.0,0,0.08039423078298569,112.0,"peak exists, weighted median differs"
