matlab_row,python_frame,time_s,python_time_s,matlab_fas_length_mm,python_fas_length_mm,matlab_fas_ang_deg,python_fas_ang_deg,matlab_fas_pen_deg,python_fas_pen_deg,delta_fas_length_mm,delta_fas_ang_deg,delta_fas_pen_deg
19,20,0.5998618329716688,0.5998620317327015,72.21135043671083,75.91676049285775,18.486982464794167,17.452856777464405,20.419289733245563,19.300057745364967,3.705410056146917,-1.0341256873297624,-1.119231987880596
20,21,0.6298549246202523,0.6298551333193365,72.20743956047188,75.91829373884885,18.485521689582626,17.45207427394996,20.420238243095866,19.297790913902162,3.7108541783769624,-1.033447415632665,-1.1224473291937045
21,22,0.6598480162688357,0.6598482349059716,72.20156102278727,75.92040840366737,18.484643804146152,17.450853161763973,20.42148962960342,19.295496322519625,3.718847380880092,-1.0337906423821792,-1.125993307083796
22,23,0.6898411079174191,0.6898413364926067,72.19857401862592,75.92050873210144,18.483918701125923,17.44913726929741,20.42276396698239,19.29534196984497,3.7219347134755196,-1.0347814318285131,-1.1274219971374215
23,24,0.7198341995660026,0.7198344380792417,72.19619011222402,75.92908609639301,18.482465488717853,17.447168385430814,20.42381737214233,19.293716424494733,3.732895984168991,-1.0352971032870393,-1.1301009476475983
24,25,0.7498272912145861,0.7498275396658768,72.20832500324991,75.92975137005537,18.48088622224865,17.44850469797592,20.42036607339707,19.292791862850095,3.72142636680546,-1.0323815242727292,-1.1275742105469746
25,26,0.7798203828631696,0.7798206412525119,72.21389702852406,75.95116438891081,18.4819677373522,17.44874432557063,20.41902173947618,19.28722382983989,3.7372673603867526,-1.0332234117815702,-1.1317979096362905
26,27,0.809813474511753,0.809813742839147,72.23431438170697,75.9896202813153,18.48271734436122,17.451105598688116,20.414258287413418,19.279104478028074,3.755305899608331,-1.0316117456731035,-1.1351538093853435
27,28,0.8398065661603364,0.839806844425782,72.2739825343652,75.9919107130474,18.48770317152911,17.455123418563574,20.404199769080343,19.27856571035889,3.7179281786822003,-1.0325797529655354,-1.1256340587214524
28,29,0.8697996578089199,0.8697999460124172,72.27374024606554,76.00136874351902,18.491531288090414,17.45699251036592,20.405259947823023,19.27575398772555,3.7276284974534803,-1.0345387777244923,-1.1295059600974717
29,30,0.8997927494575033,0.8997930475990522,72.27477569506642,76.00640022668365,18.49392524733241,17.45833525371367,20.404316932672973,19.273525649953427,3.7316245316172285,-1.0355899936187392,-1.1307912827195459
30,31,0.9297858411060868,0.9297861491856872,72.27051023613951,75.96890802688021,18.4961537226629,17.468644057847172,20.403988323045688,19.282820127229257,3.6983977907406995,-1.027509664815728,-1.1211681958164306
