frame_index_video,frame_index_matlab,frame_index_python,time_seconds,variable,method,unit,error_python_minus_matlab,absolute_error,error_p95_threshold,python_jump,jump_p95_threshold,confidence_score,relevant_R_scale,fallback_flag,missing_detection_flag,flag_reason,physical_error_threshold
94,95,94,2.819351549143697,ANG,fixed-R,deg,0.8576732569256187,0.8576732569256187,1.3056817061752408,0.30770500607371787,0.3019525368642973,0.8196552345628915,2.6964879832557997,True,False,abrupt Python frame-to-frame jump above method-variable 95th percentile; promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
95,96,95,2.8493446507303317,ANG,fixed-R,deg,0.9039338154370107,0.9039338154370107,1.3056817061752408,0.30364263529389746,0.3019525368642973,0.872615700627156,1.5328794550493026,True,False,abrupt Python frame-to-frame jump above method-variable 95th percentile; promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
108,109,108,3.239254971356588,ANG,fixed-R,deg,1.1008388477040825,1.1008388477040825,1.3056817061752408,0.1458002476717013,0.3019525368642973,0.9214025109459111,2.0465418546152203,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
113,114,113,3.3892204792897633,ANG,fixed-R,deg,1.1334656638132934,1.1334656638132934,1.3056817061752408,0.1466728764434606,0.3019525368642973,0.9200671730862848,2.0119536685361017,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
118,119,118,3.5391859872229388,ANG,fixed-R,deg,1.2594673924997828,1.2594673924997828,1.3056817061752408,0.06534595482960981,0.3019525368642973,0.9337982204916728,1.563449727959948,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
119,120,119,3.5691790888095736,ANG,fixed-R,deg,1.2570796575915644,1.2570796575915644,1.3056817061752408,0.023762855030156516,0.3019525368642973,0.9460343371286498,1.183962780206699,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
122,123,122,3.659158393569479,ANG,fixed-R,deg,1.2003644918782754,1.2003644918782754,1.3056817061752408,0.041503233778030335,0.3019525368642973,0.9500993208824602,1.0740714805274196,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
124,125,124,3.719144596742749,ANG,fixed-R,deg,1.1944233925546435,1.1944233925546435,1.3056817061752408,0.0012318805341635652,0.3019525368642973,0.9209545703128654,2.1096992772329384,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
130,131,130,3.8991032062625597,ANG,fixed-R,deg,1.1930647512394792,1.1930647512394792,1.3056817061752408,0.029295235694291932,0.3019525368642973,0.9207356519947744,2.0693486192557087,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
135,136,135,4.049068714195735,ANG,fixed-R,deg,1.2164324749794808,1.2164324749794808,1.3056817061752408,0.08461879377981063,0.3019525368642973,0.9391435487386004,1.3530386876458014,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
142,143,142,4.259020425302181,ANG,fixed-R,deg,1.2182024738109583,1.2182024738109583,1.3056817061752408,0.014552082912985043,0.3019525368642973,0.9157024721553074,2.255678085916365,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
143,144,143,4.289013526888816,ANG,fixed-R,deg,1.2212564834034012,1.2212564834034012,1.3056817061752408,0.0255316317564791,0.3019525368642973,0.9616928466477086,0.7548701986852737,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
156,157,156,4.678923847515072,ANG,fixed-R,deg,1.2050559042349533,1.2050559042349533,1.3056817061752408,0.04952981956972735,0.3019525368642973,0.932725774233968,1.6284693366855374,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
