fraction,x,y,texture_variance,zncc_0_1,texture_score,zncc_score,combined_score
0.53,365.69084883190976,224.02297243258596,866.0215454101562,0.9861342906951904,0.5617570882025801,1.0,0.8027906896911611
0.42500000000000004,482.27286934394425,197.10789180582324,846.41259765625,0.9870522618293762,0.5448782055338299,1.0,0.7951951924902235
0.665,215.79967960215106,258.6280760955666,845.4476318359375,0.9801657795906067,0.5440475875391869,1.0,0.7948214143926342
0.65,232.45425396101314,254.78306457745765,842.1332397460938,0.978484034538269,0.5411946432657462,1.0,0.7935375894695859
0.67,210.2481548158637,259.90974660160293,823.7442016601562,0.9798614382743835,0.5253658277607488,1.0,0.786414622492337
0.645,238.0057787473005,253.50139407142132,810.257568359375,0.977673351764679,0.5137568774010847,1.0,0.7811905948304881
0.45999999999999996,443.41219583993285,206.07958534807747,795.3147583007812,0.9904727339744568,0.5008944871858739,1.0,0.7754025192336433
0.675,204.69663002957634,261.19141710763927,772.9710083007812,0.9800761938095093,0.48166155641554453,1.0,0.7667477003869951
0.46499999999999997,437.86067105364543,207.36125585411378,721.5206909179688,0.9895601868629456,0.4373744339613859,1.0,0.7468184952826237
0.615,271.31492746502465,245.8113710352034,720.1444091796875,0.9797064661979675,0.4361897657032452,1.0,0.7462853945664604
0.64,243.55730353358786,252.219723565385,700.1808471679688,0.9750685095787048,0.41900564011552766,1.0,0.7385525380519875
0.47,432.3091462673581,208.6429263601501,681.5687255859375,0.9892575144767761,0.4029848000203708,1.0,0.7313431600091669
0.42000000000000004,487.8243941302316,195.82622129978694,663.3838500976562,0.9842744469642639,0.38733172247818687,1.0,0.7242992751151841
0.475,426.7576214810707,209.92459686618645,638.6793823242188,0.9887667298316956,0.3660667459901597,1.0,0.7147300356955719
0.525,371.2423736181971,222.74130192654965,631.1203002929688,0.9822160601615906,0.35956008075293355,1.0,0.7118020363388201
0.48,421.20609669478335,211.20626737222275,617.1505126953125,0.9890217781066895,0.34753524348336473,1.0,0.7063908595675141
0.62,265.7634026787373,247.0930415412397,590.6317138671875,0.9750853180885315,0.3247085370453845,1.0,0.696118841670423
0.485,415.654571908496,212.48793787825906,586.9923706054688,0.9888983368873596,0.3215758830816541,1.0,0.6947091473867444
0.635,249.10882831987522,250.93805305934868,583.9644165039062,0.9718518257141113,0.31896949733122787,1.0,0.6935362737990526
0.49,410.10304712220864,213.7696083842954,512.6641235351562,0.9863889217376709,0.25759602159093486,1.0,0.6659182097159208
0.625,260.21187789244993,248.37471204727603,482.8821105957031,0.9674417972564697,0.23196042357960933,1.0,0.6543821906108243
0.63,254.66035310616257,249.65638255331237,481.5889587402344,0.9676546454429626,0.23084731140677558,1.0,0.6538812901330491
0.495,404.5515223359213,215.05127889033173,460.8026123046875,0.9846647381782532,0.2129549539482937,1.0,0.6458297292767322
0.41500000000000004,493.37591891651897,194.5445507937506,447.61090087890625,0.9772719144821167,0.201599864825196,1.0,0.6407199391713383
0.52,376.7938984044845,221.45963142051332,414.3154602050781,0.9747118949890137,0.1729399977282519,1.0,0.6278229989777134
0.5,398.9999975496339,216.33294939636804,395.3773498535156,0.9808842539787292,0.15663855480517677,1.0,0.6204873496623295
0.32,598.8548898559789,170.19281117906053,377.4980773925781,0.9736486077308655,0.14124853256338354,1.0,0.6135618396535226
0.505,393.44847276334656,217.61461990240437,361.2948913574219,0.9775805473327637,0.12730124281690283,1.0,0.6072855592676063
0.515,382.34542319077184,220.177960914477,349.6476745605469,0.9738591909408569,0.11727561532280206,1.0,0.6027740268952609
0.325,593.3033650696915,171.47448168509686,349.3534240722656,0.968592643737793,0.1170223319988189,1.0,0.6026600493994686
0.51,387.8969479770592,218.89629040844068,342.0458679199219,0.9754288196563721,0.11073217383027861,1.0,0.5998294782236254
0.32999999999999996,587.7518402834041,172.75615219113314,315.9340515136719,0.9665899872779846,0.08825578749275886,1.0,0.5897151043717416
0.33499999999999996,582.2003154971169,174.03782269716947,280.45599365234375,0.959407389163971,0.05771717912519909,1.0,0.5759727306063396
0.41000000000000003,498.92744370280633,193.26288028771427,278.0575256347656,0.9670181274414062,0.055652638959070785,1.0,0.5750436875315819
0.405,504.4789684890937,191.98120978167796,235.61325073242188,0.9638563990592957,0.019117688434042268,1.0,0.558602959795319
0.385,526.6850676342432,186.85452775753268,235.0677490234375,0.9642186760902405,0.018648134460157274,1.0,0.5583916605070708
0.38,532.2365924205305,185.57285725149637,234.11988830566406,0.962679386138916,0.017832240102010084,1.0,0.5580245080459045
0.39,521.1335428479558,188.13619826356899,229.33058166503906,0.9658499956130981,0.013709726958199426,1.0,0.5561693771311897
0.33999999999999997,576.6487907108294,175.3194932032058,227.6508026123047,0.9501048922538757,0.012263815943679049,1.0,0.5555187171746556
0.395,515.5820180616685,189.41786876960532,223.22462463378906,0.9642775058746338,0.00845387470114154,1.0,0.5538042436155137
0.35,565.5457411382547,177.88283421527842,172.1486053466797,0.9419256448745728,0.0,1.0,0.55
0.345,571.0972659245422,176.60116370924212,169.47720336914062,0.936665952205658,0.0,1.0,0.55
0.37,543.3396419931053,183.0095162394237,186.48297119140625,0.9533752202987671,0.0,1.0,0.55
0.355,559.9942163519673,179.16450472131476,165.39151000976562,0.9402580261230469,0.0,1.0,0.55
0.36,554.44269156568,180.4461752273511,169.7779541015625,0.9479395747184753,0.0,1.0,0.55
0.365,548.8911667793926,181.7278457333874,166.6103515625,0.9464682340621948,0.0,1.0,0.55
0.4,510.0304932753811,190.69953927564165,212.3121337890625,0.9621840715408325,0.0,1.0,0.55
0.375,537.7881172068179,184.29118674546004,201.43182373046875,0.9560536742210388,0.0,1.0,0.55
