family,method,block_size,offset,offset_units,candidate_index,target,mean_iou,mean_dice,mean_mae,mean_target_density,mean_pred_density,mean_density_bias,mean_abs_density_bias,min_iou,min_dice
cv2,mean,31,-10.0,uint8_C,58,fas_thres_raw_from_matlab_fas_filt,0.8388061523077652,0.9121606092875526,0.03656339997110011,0.2238063953885635,0.19729914857343203,-0.026507246815131447,0.026507246815131447,0.8012968566664608,0.889688841348857
skimage,gaussian,51,-0.0392156862745098,float01_offset,135,fas_thres_raw_from_matlab_fas_filt,0.8381813903363172,0.9117976182637967,0.0367389835976329,0.2238063953885635,0.1975072165710618,-0.026299178817501687,0.026299178817501687,0.8008564517721394,0.8894173113954238
skimage,gaussian,51,0.0,float01_offset,137,fas_thres_raw_from_matlab_fas_filt,0.836649346382386,0.9109718078199376,0.04142961476896331,0.2238063953885635,0.24433119720589605,0.020524801817332548,0.020524801817332548,0.804922878486591,0.8919194144865741
cv2,mean,71,5.0,uint8_C,105,fas_thres_raw_from_matlab_fas_filt,0.8348065054297238,0.9089247514266696,0.044466903466530455,0.2238063953885635,0.26827329885509393,0.044466903466530455,0.044466903466530455,0.7273987595767968,0.8421897440229787
cv2,gaussian,51,-10.0,uint8_C,25,fas_thres_raw_from_matlab_fas_filt,0.83076578323291,0.9073657904884601,0.03837076316989214,0.2238063953885635,0.1953069605046055,-0.02849943488395799,0.02849943488395799,0.7904002965159377,0.8829313735638132
skimage,mean,71,0.0196078431372549,float01_offset,215,fas_thres_raw_from_matlab_fas_filt,0.8272934101985154,0.9042126001851096,0.04698892282945593,0.2238063953885635,0.26999777090005234,0.04619137551148883,0.04619137551148883,0.7092843964741219,0.8299196996558557
skimage,gaussian,41,-0.0392156862745098,float01_offset,124,fas_thres_raw_from_matlab_fas_filt,0.8245830925972712,0.9037065938675399,0.040178966481729785,0.2238063953885635,0.19766627797436423,-0.02614011741419926,0.02614011741419926,0.7894077630561047,0.8823117674507974
cv2,gaussian,41,-10.0,uint8_C,14,fas_thres_raw_from_matlab_fas_filt,0.8182977966240726,0.8998931833955641,0.0415074652445233,0.2238063953885635,0.19522098893627127,-0.028585406452292225,0.028585406452292225,0.7802761778171614,0.8765788000082958
cv2,gaussian,31,-5.0,uint8_C,4,fas_thres_raw_from_matlab_fas_filt,0.8151877114039164,0.8981489677344737,0.044657609127884246,0.2238063953885635,0.21652877611211363,-0.007277619276449842,0.007277619276449842,0.7979627480629696,0.8876299010339926
skimage,gaussian,31,-0.0196078431372549,float01_offset,114,fas_thres_raw_from_matlab_fas_filt,0.8141217173755468,0.8975066980827859,0.04533221990351022,0.2238063953885635,0.22018186767211395,-0.003624527716449527,0.004247891596293195,0.798090088417535,0.8877086788459181
skimage,mean,61,-0.058823529411764705,float01_offset,200,fas_thres_raw_from_matlab_fas_filt,0.8136674974292495,0.8969553604140837,0.041329081241171815,0.2238063953885635,0.18261005200859828,-0.041196343379965215,0.041196343379965215,0.7632766661651873,0.8657480482914551
cv2,mean,61,5.0,uint8_C,94,fas_thres_raw_from_matlab_fas_filt,0.8141860354724482,0.8963703449992677,0.05138579447250422,0.2238063953885635,0.27509641697386805,0.051290021585304525,0.051290021585304525,0.6994588241485471,0.8231547763435644
cv2,gaussian,41,0.0,uint8_C,16,fas_thres_raw_from_matlab_fas_filt,0.8122665767153454,0.8963395623218902,0.04826113401819349,0.2238063953885635,0.2439332636599581,0.020126868271394597,0.020126868271394597,0.786077426121951,0.8802277153558052
skimage,mean,51,-0.058823529411764705,float01_offset,189,fas_thres_raw_from_matlab_fas_filt,0.8124908466460781,0.89620945969333,0.041677448117418685,0.2238063953885635,0.18337959555837835,-0.040426799830185156,0.040426799830185156,0.7602101444743261,0.8637720295622513
skimage,mean,71,-0.058823529411764705,float01_offset,211,fas_thres_raw_from_matlab_fas_filt,0.8121489073276705,0.8960423061602312,0.04166624661014387,0.2238063953885635,0.18214462938132955,-0.04166176600723394,0.04166176600723394,0.7625764871100411,0.8652974695701043
cv2,mean,61,-15.0,uint8_C,90,fas_thres_raw_from_matlab_fas_filt,0.8099507997024188,0.894689298386002,0.04215939296791776,0.2238063953885635,0.1817315738005706,-0.04207482158799288,0.04207482158799288,0.7591494376810141,0.8630869230549933
cv2,mean,71,-15.0,uint8_C,101,fas_thres_raw_from_matlab_fas_filt,0.8094214214849019,0.8943813073014747,0.042281769434895165,0.2238063953885635,0.18152462595366833,-0.042281769434895165,0.042281769434895165,0.7601690239743204,0.8637454853715352
cv2,mean,51,-15.0,uint8_C,79,fas_thres_raw_from_matlab_fas_filt,0.8082707102547703,0.8936274757727336,0.042608573409638,0.2238063953885635,0.18228100773240047,-0.04152538765616302,0.04152538765616302,0.7555869766510673,0.8607798835377718
skimage,mean,41,-0.058823529411764705,float01_offset,178,fas_thres_raw_from_matlab_fas_filt,0.8077890693756934,0.8933315133754424,0.04289757229732833,0.2238063953885635,0.1839830767628092,-0.03982331862575429,0.03982331862575429,0.7542675318193162,0.8599230369806596
skimage,gaussian,71,-0.058823529411764705,float01_offset,156,fas_thres_raw_from_matlab_fas_filt,0.8054414745418321,0.8918714440884595,0.04331762882013404,0.2238063953885635,0.18254312300263123,-0.041263272385932255,0.041263272385932255,0.7507375737573757,0.8576243350351672
skimage,gaussian,31,-0.0392156862745098,float01_offset,113,fas_thres_raw_from_matlab_fas_filt,0.8048294147646575,0.8917346150070805,0.04523168637571871,0.2238063953885635,0.19747221186082797,-0.026334183527735495,0.026334183527735495,0.7732765354945806,0.8721443272003909
skimage,gaussian,41,0.0,float01_offset,126,fas_thres_raw_from_matlab_fas_filt,0.8040364704007151,0.8912484175564356,0.05114356187768627,0.2238063953885635,0.24916744797179913,0.025361052583235604,0.025361052583235604,0.7674022888328612,0.8683957169022684
cv2,mean,41,-15.0,uint8_C,68,fas_thres_raw_from_matlab_fas_filt,0.8033340204838849,0.890585826875514,0.04386482245050895,0.2238063953885635,0.18267754108992906,-0.04112885429863443,0.04112885429863443,0.7488046938393359,0.8563617154931186
skimage,mean,31,-0.058823529411764705,float01_offset,167,fas_thres_raw_from_matlab_fas_filt,0.8018256254675014,0.889675812090931,0.04443357898238787,0.2238063953885635,0.184420215584209,-0.03938617980435447,0.03938617980435447,0.750062250996016,0.8571835094084587
skimage,gaussian,61,-0.058823529411764705,float01_offset,145,fas_thres_raw_from_matlab_fas_filt,0.8011008848123703,0.8891939990816111,0.04438653265183363,0.2238063953885635,0.18248627535321155,-0.041320120035351966,0.041320120035351966,0.7458149724743156,0.8544032262677688
cv2,gaussian,31,-10.0,uint8_C,3,fas_thres_raw_from_matlab_fas_filt,0.8005537468786659,0.8890748643329895,0.04601383162118295,0.2238063953885635,0.19481045369464917,-0.028995941693914333,0.028995941693914333,0.7656996545218435,0.8673045300325407
skimage,mean,61,0.0196078431372549,float01_offset,204,fas_thres_raw_from_matlab_fas_filt,0.8014573367152616,0.8882770081121069,0.055882919605662135,0.2238063953885635,0.27866101662639725,0.05485462123783376,0.05485462123783376,0.6770022980679207,0.8073957905101228
