family,method,block_size,offset,offset_units,candidate_index,target,mean_iou,mean_dice,mean_mae,mean_target_density,mean_pred_density,mean_density_bias,mean_abs_density_bias,min_iou,min_dice
skimage,gaussian,41,-0.0196078431372549,float01_offset,125,apo_thres_from_raw_red_channel,0.6974619301008302,0.8217077670565298,0.10100931181299756,0.3009349338046927,0.2666445996973353,-0.03429033410735749,0.03429033410735749,0.6771629471109752,0.8075100255195042
skimage,gaussian,71,-0.0392156862745098,float01_offset,157,apo_thres_from_raw_red_channel,0.6950542459221037,0.8197356551000939,0.09368548631903909,0.3009349338046927,0.22120540539935055,-0.07972952840534223,0.07972952840534223,0.6483178053830227,0.7866417547220173
cv2,mean,51,5.0,uint8_C,83,apo_thres_from_raw_red_channel,0.6904015044062097,0.8164129774958742,0.13459171066058648,0.3009349338046927,0.4313266393125859,0.13039170550789314,0.13039170550789314,0.6257416679533273,0.7697922496396167
cv2,gaussian,41,-5.0,uint8_C,15,apo_thres_from_raw_red_channel,0.6887997355025117,0.8156531178567964,0.10316504188803645,0.3009349338046927,0.25980271905387586,-0.04113221475081687,0.04113221475081687,0.6673156327825234,0.8004670737344005
cv2,gaussian,41,0.0,uint8_C,16,apo_thres_from_raw_red_channel,0.6816482224143091,0.8106475265547064,0.12111909778579805,0.3009349338046927,0.3392048834091115,0.03826994960441876,0.03826994960441876,0.6600795135640786,0.7952384306543636
cv2,gaussian,71,-10.0,uint8_C,47,apo_thres_from_raw_red_channel,0.6802000801935252,0.8092895224511527,0.09827390373648678,0.3009349338046927,0.21670772019082887,-0.08422721361386389,0.08422721361386389,0.6326734808297753,0.7750153208934722
skimage,gaussian,41,0.0,float01_offset,126,apo_thres_from_raw_red_channel,0.6783966144249655,0.8083206379374633,0.12444902586091983,0.3009349338046927,0.3488972676163304,0.0479623338116377,0.0479623338116377,0.6509603038733148,0.7885838349306135
skimage,mean,51,0.0196078431372549,float01_offset,193,apo_thres_from_raw_red_channel,0.678598915792369,0.8080716947221491,0.1421418066014963,0.3009349338046927,0.4386807088761864,0.13774577507149363,0.13774577507149363,0.6125016868640523,0.75969121998902
skimage,gaussian,61,-0.0392156862745098,float01_offset,146,apo_thres_from_raw_red_channel,0.6772036966246644,0.8071816239832938,0.0998423947926433,0.3009349338046927,0.21920033559715796,-0.08173459820753481,0.08173459820753481,0.6318484470982431,0.77439599029162
skimage,mean,31,-0.0392156862745098,float01_offset,168,apo_thres_from_raw_red_channel,0.6770629811798092,0.807133278019044,0.10119273649462272,0.3009349338046927,0.2259895691564257,-0.07494536464826707,0.07494536464826707,0.6343276591758705,0.7762551843438028
cv2,mean,31,-10.0,uint8_C,58,apo_thres_from_raw_red_channel,0.6695917039627479,0.8017741718435105,0.10318184414894868,0.3009349338046927,0.22183633029660474,-0.07909860350808803,0.07909860350808803,0.6254086955037093,0.7695402359218916
cv2,gaussian,61,-10.0,uint8_C,36,apo_thres_from_raw_red_channel,0.6623573008879317,0.7965093783093438,0.10438012538967244,0.3009349338046927,0.2142862343556949,-0.08664869944899786,0.08664869944899786,0.6162025098848204,0.7625313116593717
skimage,gaussian,51,-0.0392156862745098,float01_offset,135,apo_thres_from_raw_red_channel,0.6547616367252991,0.7910115564846216,0.10753222953680647,0.3009349338046927,0.21581916062625386,-0.0851157731784389,0.0851157731784389,0.6105658569142701,0.7582004229048677
skimage,gaussian,31,-0.0196078431372549,float01_offset,114,apo_thres_from_raw_red_channel,0.6540524912155206,0.7907989927077644,0.11767631452488247,0.3009349338046927,0.26240566930686193,-0.03852926449783083,0.03852926449783083,0.636401919654208,0.7778063714184442
cv2,gaussian,31,-5.0,uint8_C,4,apo_thres_from_raw_red_channel,0.6492930073449128,0.7872970961963602,0.11806892735486486,0.3009349338046927,0.25508492422740403,-0.04585000957728872,0.04585000957728872,0.6299884326200116,0.7729974274815932
cv2,mean,41,5.0,uint8_C,72,apo_thres_from_raw_red_channel,0.6488644382323684,0.7866140831056007,0.15970464985768484,0.3009349338046927,0.4466931470298643,0.14575821322517157,0.14575821322517157,0.587023009259503,0.7397788259332232
cv2,gaussian,51,-10.0,uint8_C,25,apo_thres_from_raw_red_channel,0.6407439476560792,0.7806563254406315,0.1117182328054063,0.3009349338046927,0.2105886168042772,-0.09034631700041557,0.09034631700041557,0.5957211645560944,0.746648196173816
skimage,mean,71,-0.058823529411764705,float01_offset,211,apo_thres_from_raw_red_channel,0.640172462960849,0.7801577161656789,0.10816791507465244,0.3009349338046927,0.193048736638002,-0.10788619716669075,0.10788619716669075,0.5909671996217362,0.7429030589219474
skimage,mean,61,-0.058823529411764705,float01_offset,200,apo_thres_from_raw_red_channel,0.6385676479695578,0.7789048494871217,0.10876075484717224,0.3009349338046927,0.19313750858315493,-0.10779742522153782,0.10779742522153782,0.5867545149097018,0.7395655842114841
skimage,mean,41,0.0196078431372549,float01_offset,182,apo_thres_from_raw_red_channel,0.6371915002766246,0.7779176703921552,0.16829732608819842,0.3009349338046927,0.45587166209085095,0.15493672828615818,0.15493672828615818,0.5729978338312441,0.7285424321731355
cv2,gaussian,31,0.0,uint8_C,5,apo_thres_from_raw_red_channel,0.6361476910470274,0.7775774485744446,0.14331936505376167,0.3009349338046927,0.3438014219193335,0.04286648811464071,0.04286648811464071,0.6164426383244764,0.7627151421388513
cv2,gaussian,71,5.0,uint8_C,50,apo_thres_from_raw_red_channel,0.63547258258583,0.7766394208562734,0.1675784693588369,0.3009349338046927,0.4484716663474237,0.14753673254273092,0.14753673254273092,0.5718355697196242,0.7276022768992627
skimage,gaussian,71,0.0196078431372549,float01_offset,160,apo_thres_from_raw_red_channel,0.6349000839554493,0.7761716676722092,0.16918280523827287,0.3009349338046927,0.45387723372056943,0.15294229991587668,0.15294229991587668,0.5687228603985094,0.7250775452510896
cv2,mean,71,-15.0,uint8_C,101,apo_thres_from_raw_red_channel,0.6332544665352,0.7750287135323507,0.11020938977548819,0.3009349338046927,0.19072554402920455,-0.11020938977548819,0.11020938977548819,0.5847204588240444,0.7379477630495682
cv2,mean,61,-15.0,uint8_C,90,apo_thres_from_raw_red_channel,0.6314037516576811,0.7735857994220158,0.11086355780033762,0.3009349338046927,0.19066281558846557,-0.11027211821622718,0.11027211821622718,0.5811936641288177,0.7351328016470836
skimage,mean,51,-0.058823529411764705,float01_offset,189,apo_thres_from_raw_red_channel,0.6287547487541377,0.7714917008750457,0.11236119932298089,0.3009349338046927,0.1931254669628345,-0.10780946684185824,0.10780946684185824,0.5740972984271306,0.7294305110627916
skimage,gaussian,31,0.0,float01_offset,115,apo_thres_from_raw_red_channel,0.6277274310126556,0.7712238729211648,0.15013072158989715,0.3009349338046927,0.3557817139874342,0.05484678018274139,0.05484678018274139,0.6013900821995102,0.7510850590176011
skimage,gaussian,41,-0.0392156862745098,float01_offset,124,apo_thres_from_raw_red_channel,0.626466348286018,0.7699775488977942,0.11714368285396483,0.3009349338046927,0.21043795653143085,-0.09049697727326189,0.09049697727326189,0.5830421815083084,0.7366097862948807
cv2,mean,51,-15.0,uint8_C,79,apo_thres_from_raw_red_channel,0.6216937259387673,0.7661787941357056,0.11441331545572773,0.3009349338046927,0.1905412792345338,-0.11039365457015897,0.11039365457015897,0.5684485688145341,0.7248545857569041
cv2,gaussian,41,-10.0,uint8_C,14,apo_thres_from_raw_red_channel,0.6137152583625081,0.7602253310973356,0.1208018150922388,0.3009349338046927,0.20499318388282328,-0.09594174992186949,0.09594174992186949,0.5683312554437859,0.7247592030970103
skimage,mean,41,-0.058823529411764705,float01_offset,178,apo_thres_from_raw_red_channel,0.6122649382888459,0.7589019971191365,0.118191863897206,0.3009349338046927,0.19173115934480145,-0.10920377445989132,0.10920377445989132,0.5558832970407835,0.7145565455944508
cv2,gaussian,61,5.0,uint8_C,39,apo_thres_from_raw_red_channel,0.6080639491526703,0.7557109716133995,0.18603491285787416,0.3009349338046927,0.45948134781016137,0.15854641400546857,0.15854641400546857,0.5413119079026262,0.7024041079903525
skimage,gaussian,61,0.0196078431372549,float01_offset,149,apo_thres_from_raw_red_channel,0.6061686437531031,0.7541935012802337,0.18895234542760073,0.3009349338046927,0.4664173211147292,0.16548238731003645,0.16548238731003645,0.5367090226007593,0.6985174352557928
cv2,mean,41,-15.0,uint8_C,68,apo_thres_from_raw_red_channel,0.6056439471348499,0.753793912716303,0.12005971523528206,0.3009349338046927,0.18903775692057123,-0.11189717688412154,0.11189717688412154,0.5492012502170516,0.7090121443422609
cv2,mean,31,5.0,uint8_C,61,apo_thres_from_raw_red_channel,0.597232247698686,0.7472474485092261,0.19433999038910674,0.3009349338046927,0.4667043597386464,0.16576942593395366,0.16576942593395366,0.5302670201453444,0.693038552310929
skimage,gaussian,71,-0.058823529411764705,float01_offset,156,apo_thres_from_raw_red_channel,0.5956675257058439,0.7459090191482614,0.12259937697216539,0.3009349338046927,0.18401864154840675,-0.11691629225628601,0.11691629225628601,0.5367087505441881,0.6985172048433065
skimage,mean,31,-0.058823529411764705,float01_offset,167,apo_thres_from_raw_red_channel,0.5893646793193643,0.7409549148054602,0.12578088507589583,0.3009349338046927,0.1871715858085864,-0.11376334799610636,0.11376334799610636,0.531691817528549,0.6942543029138287
skimage,gaussian,31,-0.0392156862745098,float01_offset,113,apo_thres_from_raw_red_channel,0.5875627658028066,0.7398306154426347,0.13029005182937417,0.3009349338046927,0.2018410797356892,-0.09909385406900352,0.09909385406900352,0.5438168846611178,0.7045095698386413
skimage,mean,31,0.0196078431372549,float01_offset,171,apo_thres_from_raw_red_channel,0.5862456598661758,0.7384896176945097,0.20402537365427892,0.3009349338046927,0.47763871106496086,0.17670377726026815,0.17670377726026815,0.5159562321598478,0.6807006973080519
