frame,time_s,success,utt_x_sup,utt_y_sup,utt_fascicle_angle_deg,utt_fascicle_length_px,utt_pennation_angle_deg,utt_deep_apo_angle_deg,used_timtrack_measurement,used_klt_prediction,unc_x_sup,unc_y_sup,unc_angle,unc_length,innovation_norm,timtrack_length_px,timtrack_pennation_angle_deg,klt_length_px,klt_pennation_angle_deg,error
10,0.29993101954460144,True,712.8684692382812,52.87885665893555,18.572162628173828,799.8837280273438,20.457233428955078,-1.88507080078125,True,True,9.929798126220703,2.5222601890563965,0.4278169572353363,9.929798126220703,63.54827117919922,749.0916748046875,21.868175506591797,805.4832763671875,20.26703453063965,
11,0.3299241065979004,True,714.3307495117188,52.927738189697266,18.45650291442871,803.5429077148438,20.34157371520996,-1.88507080078125,True,True,9.041128158569336,2.2993571758270264,0.39462369680404663,9.041128158569336,26.922393798828125,784.0262451171875,20.855478286743164,805.4828491210938,20.267053604125977,
12,0.35991722345352173,True,715.525146484375,52.93804931640625,18.403966903686523,805.3229370117188,20.337209701538086,-1.9332427978515625,True,True,8.299894332885742,2.1140713691711426,0.36745357513427734,8.299894332885742,3.922891616821289,803.610107421875,20.36819076538086,805.4779663085938,20.267032623291016,
13,0.3899103105068207,True,715.892578125,52.968467712402344,18.401405334472656,805.4000244140625,20.300926208496094,-1.8995208740234375,True,True,7.672331809997559,1.9577364921569824,0.3449069559574127,7.672331809997559,1.5002098083496094,804.7183227539062,20.334468841552734,805.4566650390625,20.267045974731445,
14,0.419903427362442,True,714.6565551757812,52.93830871582031,18.450698852539062,803.7888793945312,20.3502197265625,-1.8995208740234375,True,True,7.1342549324035645,1.8241578340530396,0.325983464717865,7.1342549324035645,28.4127254486084,782.0503540039062,20.925127029418945,805.4589233398438,20.267061233520508,
15,0.44989651441574097,True,713.3025512695312,52.90704345703125,18.502443313598633,802.2225952148438,20.387514114379883,-1.88507080078125,True,True,6.667884826660156,1.7087900638580322,0.30994904041290283,6.667884826660156,61.66525650024414,756.6881103515625,21.631906509399414,805.4757080078125,20.26706886291504,
16,0.4798896312713623,True,715.3863525390625,52.974647521972656,18.425817489624023,804.5934448242188,20.281972885131836,-1.8561553955078125,True,True,6.259859085083008,1.6082221269607544,0.29625260829925537,6.259859085083008,15.154187202453613,791.7993774414062,20.634187698364258,805.4478149414062,20.267053604125977,
17,0.5098827481269836,True,714.8175048828125,52.96956253051758,18.434045791625977,804.2796020507812,20.319116592407227,-1.88507080078125,True,True,5.899941444396973,1.5198442935943604,0.2844724953174591,5.899941444396973,25.788124084472656,785.6669921875,20.80971336364746,805.4465942382812,20.26707649230957,
18,0.5398758053779602,True,715.9437866210938,52.97455978393555,18.39765739440918,805.4488525390625,20.28272819519043,-1.88507080078125,True,True,5.58015775680542,1.441625714302063,0.27428045868873596,5.58015775680542,2.3885605335235596,804.8627319335938,20.320018768310547,805.4835205078125,20.267086029052734,
19,0.5698689222335815,True,715.834716796875,52.987205505371094,18.396358489990234,805.4297485351562,20.295879364013672,-1.8995208740234375,True,True,5.294203758239746,1.3719626665115356,0.265417218208313,5.294203758239746,0.8859086036682129,804.8031616210938,20.334468841552734,805.4647827148438,20.267065048217773,
20,0.5998620390892029,True,715.96630859375,52.988800048828125,18.396520614624023,805.4342651367188,20.281591415405273,-1.88507080078125,True,True,5.03702974319458,1.3095715045928955,0.2576751708984375,5.03702974319458,3.203749418258667,804.7748413085938,20.320018768310547,805.46923828125,20.267074584960938,
