frame,time_s,success,fascicle_length_px,fascicle_angle_deg,deep_apo_angle_deg,pennation_angle_deg,n_fascicle_candidates,error
42,1.259710266638673,True,810.856201171875,18.434947967529297,-1.0802001953125,19.515148162841797,119,
43,1.289703368225308,True,821.0799560546875,18.434947967529297,-0.95001220703125,19.384960174560547,126,
44,1.319696469811943,True,809.5650634765625,18.758649826049805,-0.8343048095703125,19.592954635620117,108,
45,1.3496895713985784,True,801.1741943359375,18.799884796142578,-0.76678466796875,19.566669464111328,134,
46,1.3796826729852134,True,814.569091796875,18.434947967529297,-0.69927978515625,19.134227752685547,111,
47,1.4096757745718485,True,687.7807006835938,22.425861358642578,-0.626953125,23.052814483642578,83,
48,1.4396688761584835,True,818.1778564453125,18.434947967529297,-0.5738983154296875,19.008846282958984,137,
49,1.4696619777451185,True,801.939453125,18.88608741760254,-0.5546112060546875,19.440698623657227,125,
50,1.4996550793317536,True,793.0082397460938,-20.376434326171875,-0.405120849609375,-19.9713134765625,112,
51,1.5296481809183886,True,825.991943359375,18.434947967529297,-0.400299072265625,18.835247039794922,108,
52,1.5596412825050239,True,753.2486572265625,20.323135375976562,-0.3665313720703125,20.689666748046875,92,
53,1.589634384091659,True,705.3340454101562,21.801406860351562,-0.3520660400390625,22.153472900390625,136,
54,1.619627485678294,True,783.0239868164062,19.5024471282959,-0.3231353759765625,19.82558250427246,114,
55,1.649620587264929,True,770.6683959960938,19.79887580871582,-0.29901123046875,20.09788703918457,134,
56,1.679613688851564,True,634.4356079101562,24.507404327392578,-0.3665313720703125,24.87393569946289,107,
57,1.709606790438199,True,719.0094604492188,21.250503540039062,-0.448516845703125,21.699020385742188,140,
58,1.7395998920248343,True,664.7781982421875,23.198589324951172,-0.4967498779296875,23.69533920288086,84,
59,1.7695929936114694,True,810.3135986328125,-19.798873901367188,-0.395477294921875,-19.403396606445312,126,
60,1.7995860951981044,True,674.7818603515625,-24.145538330078125,-0.3858184814453125,-23.759719848632812,112,
61,1.8295791967847395,True,675.8981323242188,22.83365249633789,-0.4919281005859375,23.325580596923828,105,
62,1.8595722983713745,True,661.4793701171875,23.459022521972656,-0.448516845703125,23.90753936767578,109,
63,1.8895653999580095,True,695.200439453125,22.285585403442383,-0.462982177734375,22.748567581176758,90,
