cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_px,length_std_px,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,hough_peak_fraction
a-35.50_x400_lp450,11,33,0.9752682794006479,0.5389763188033536,-35.5,0.08331955809010737,448.7460136303659,16.33318592722831,,,399.99999984841446,4.4837516329148963e-07,0.5094545454545455,0.7352354669761634,0.0
a-36.00_x400_lp450,11,32,0.974688270771715,0.5382080010453976,-36.1,0.07713892158398811,442.2517430824084,15.815614736022159,,,400.00000018937453,5.791658233747675e-07,0.5107272727272728,0.7279782027261323,0.0
a-46.75_x400_lp350,11,20,0.9514993863045255,0.5137967458524249,-46.7,0.038569460791991306,357.7528303255675,12.207762656475984,,,400.00000101312287,1.2032808950986495e-06,0.5332727272727272,0.7445997085874481,0.0
a-31.75_x400_lp500,11,21,0.9493389062556827,0.5125449882984925,-31.8,0.04810456929208415,494.7126154580507,17.951925255743976,,,399.99999968868156,3.5108133214326144e-07,0.4567272727272727,0.7223179477880304,0.0
a-47.00_x400_lp350,11,33,0.9468584815775778,0.509700296405649,-46.9,0.06428243465332341,356.57764562867885,12.449329080037394,,,400.0000003081634,1.0738083824088572e-06,0.5325454545454545,0.744468176290663,0.09090909090909091
a-31.50_x400_lp500,11,31,0.9463680894034805,0.5099143209565757,-31.6,0.06555547773570983,497.5284383136994,17.880975987047353,,,399.99999991817947,3.526051364441632e-07,0.44890909090909087,0.7191955100406053,0.0
a-42.00_x400_lp400,10,29,0.9446351026812823,0.5479268697582101,-42.0,0.08306623862918193,396.20702004295237,13.043538434754387,,,400.0000001368018,8.426469147528037e-07,0.5382,0.7316173951642042,0.0
a-47.25_x400_lp350,11,22,0.942635054451481,0.504921240858926,-47.2,0.038569460791991306,354.837345353223,12.11837753284179,,,400.00000057836223,8.379332337192485e-07,0.5318181818181819,0.7414873733098599,0.0
a-47.50_x400_lp350,11,33,0.9396790459483229,0.5021717106678261,-47.4,0.04810456929208414,353.6919186176542,12.244586669292165,,,400.0000001097336,1.0565415447159841e-06,0.5339999999999999,0.7308731042542587,0.0
a-36.25_x400_lp450,10,19,0.9372984944173592,0.5401026658044916,-36.3,0.04582575694955579,449.396420920356,15.101249985129988,,,399.9999999036298,6.115302296700786e-07,0.5186,0.715213316089834,0.0
a-47.75_x400_lp350,11,22,0.9358596219446017,0.49824210786005135,-47.7,0.0445361771415098,351.995584534542,11.934098980956218,,,400.0000002377969,1.2397155561107035e-06,0.5329090909090909,0.7429003274206363,0.0
a-48.00_x400_lp350,11,33,0.9330792451576558,0.4959166703453951,-47.9,0.06555547773570983,350.879030394759,12.21052506420094,,,400.0000000465087,1.0492854262413493e-06,0.538,0.7273453480242196,0.0
a-48.25_x400_lp350,11,22,0.9303185139281818,0.49278480876856856,-48.2,0.04810456929208073,348.67971750212627,12.03362763636202,,,400.00000016403493,1.4196229366474958e-06,0.5410909090909091,0.7372109325914608,0.0
a-48.50_x400_lp350,11,33,0.9270653115470209,0.49011630693899877,-48.4,0.0782029569731159,347.05928430038483,11.895490020125324,,,399.99999981348947,8.815606322212332e-07,0.5445454545454546,0.7214769493591998,0.0
a-48.75_x400_lp350,11,22,0.9263135128754252,0.4886967645763534,-48.7,0.0445361771415098,346.52458741479387,11.940225264784242,,,399.99999981973616,1.0645202792607251e-06,0.5503636363636364,0.7264894113195026,0.0
a-49.00_x400_lp350,11,33,0.9239363738222758,0.48720482787752956,-49.0,0.08999540851465278,345.4632700775227,11.748367079685204,,,399.99999975694203,9.497820449853476e-07,0.5576363636363636,0.7102434056202004,0.0
