Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
31,2.8181818181818183,42.220015494118606,-32.89484468166374,-32.88617571889412,489.50742601876647,-43.5,-43.5,-43.5,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
32,2.909090909090909,42.056506569598085,-33.11857982717788,-33.163670387533045,487.61167037215176,-45.0,-45.0,-45.0,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
33,3.0,42.525520744986565,-32.86297581437501,-32.855445922799674,493.04951588390225,-27.5,-27.5,-27.5,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
34,3.090909090909091,44.11372731931484,-31.291859582621388,-31.275532049471906,511.46350515147645,-12.0,-12.0,-12.0,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
35,3.1818181818181817,43.657325777852144,-31.591871106381795,-31.588281853923746,506.17189307654667,-16.5,-16.5,-16.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
36,3.272727272727273,43.5378142867039,-31.80624489061006,-31.85047729965075,504.78625259946557,-36.0,-36.0,-36.0,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
37,3.3636363636363638,45.557098811490874,-30.21872852501116,-30.22804916535236,528.1982470897493,-10.5,-10.5,-10.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
38,3.4545454545454546,46.48382232760558,-29.012714316281507,-29.001095693388294,538.9428675664416,-11.5,-11.5,-11.5,houghpeaks,False,nan,nan,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
39,3.5454545454545454,45.7474192801203,-29.4133013629914,-29.40252344057447,530.4048612187861,-10.5,-10.5,-10.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
40,3.6363636363636362,45.692096599570746,-29.448316769490933,-29.417922861791823,529.7634388356029,-14.0,-14.0,-14.0,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
41,3.727272727272727,45.35832512105952,-29.339531927097347,-29.33802274468357,525.8936245919945,-13.0,-13.0,-13.0,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
42,3.8181818181818183,45.051998760956266,-29.514655390866423,-29.503772652697364,522.3420146197828,-35.5,-35.5,-35.5,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
43,3.909090909090909,44.53914377058362,-29.831277159827057,-29.824277004824836,516.3958698038681,-27.5,-27.5,-27.5,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
44,4.0,44.50370708640508,-29.715572032444488,-29.70624662027336,515.9850096974502,-13.5,-13.5,-13.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
45,4.090909090909091,44.04545405459422,-29.71487272847271,-29.698474186253122,510.6719310677591,-13.0,-13.0,-13.0,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
46,4.181818181818182,44.106237621726436,-29.684761486871558,-29.66797615078721,511.3766680779877,-13.5,-13.5,-13.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
