frame,time_s,step_dx_px,step_dy_px,cumulative_dx_px,cumulative_dy_px,valid_points,median_zncc,median_forward_backward_error_px,cumulative_dx_mm_guess,cumulative_dy_mm_guess,displacement_magnitude_mm_guess,cumulative_dx_mm_active_crop_sensitivity,cumulative_dy_mm_active_crop_sensitivity,displacement_magnitude_mm_active_crop_sensitivity
18,0.72,0.0,0.0,-8.0,-1.0,126,0.9978585541248322,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
19,0.76,0.0,0.0,-8.0,-1.0,126,0.9826284646987915,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
20,0.8,0.0,0.0,-8.0,-1.0,124,0.9885076284408569,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
21,0.84,0.0,0.0,-8.0,-1.0,125,0.9861980676651001,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
22,0.88,0.0,0.0,-8.0,-1.0,126,0.987903892993927,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
23,0.92,1.0,0.0,-7.0,-1.0,123,0.9847427010536194,0.0,-0.46210937500000004,-0.06601562500000001,0.4668009610176818,-0.9723287671232876,-0.1389041095890411,0.982200378250903
24,0.96,1.0,0.0,-6.0,-1.0,124,0.9826441705226898,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
25,1.0,0.0,0.0,-6.0,-1.0,127,0.9968332648277283,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
26,1.04,0.0,0.0,-6.0,-1.0,127,0.9951412081718445,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
27,1.08,0.0,0.0,-6.0,-1.0,125,0.994368314743042,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
28,1.12,0.0,0.0,-6.0,-1.0,125,0.9972915053367615,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
29,1.16,0.0,0.0,-6.0,-1.0,125,0.9697415828704834,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
30,1.2,0.0,0.0,-6.0,-1.0,126,0.970866322517395,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
31,1.24,0.0,0.0,-6.0,-1.0,126,0.9688339829444885,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
32,1.28,0.0,0.0,-6.0,-1.0,126,0.9644607305526733,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
